FID,OBJECTID,SHAPE,LBEZEICHNUNG,LTYP,LTYPTXT,SE_ANNO_CAD_DATA
OEFFLINIENOGD.360,360,"LINESTRING (16.359466729431645 48.18573662510175, 16.36044482901936 48.18485007312977, 16.358540779545063 48.18389867800714, 16.356756892333326 48.182962100794995)",12A,2,Autobus,
OEFFLINIENOGD.361,361,"LINESTRING (16.37383919937942 48.178334530127394, 16.37317478386625 48.178398231572004, 16.371925886694836 48.17850068139601, 16.369478890440767 48.1786261504834, 16.366009001175872 48.17881609516768, 16.363042064570834 48.17899447766948, 16.36190614438987 48.17905899442843, 16.36160100005976 48.179134657882486, 16.3598381544629 48.18006107451412, 16.359760303978067 48.18011856177601)",14A,2,Autobus,
OEFFLINIENOGD.362,362,"LINESTRING (16.355768320015535 48.18392935377175, 16.355792142406667 48.183937849171286, 16.357598254142946 48.18480007844233, 16.359466729431645 48.18573662510175)",12A,2,Autobus,
OEFFLINIENOGD.363,363,"LINESTRING (16.356756892333326 48.182962100794995, 16.355768320015535 48.18392935377175)",14A,2,Autobus,
OEFFLINIENOGD.364,364,"LINESTRING (16.355768320015535 48.18392935377175, 16.353921262804885 48.1857317707444, 16.35317873882251 48.18651710535973)",14A,2,Autobus,
OEFFLINIENOGD.365,365,"LINESTRING (16.35143591805247 48.18926612160857, 16.35201820807042 48.18793354648762)","12A, 14A",2,Autobus,
OEFFLINIENOGD.366,366,"LINESTRING (16.35143591805247 48.18926612160857, 16.352494680565005 48.18960802266888, 16.353406761364656 48.19022952146374, 16.353824940970966 48.190369250653426)","12A, 14A",2,Autobus,
OEFFLINIENOGD.367,367,"LINESTRING (16.356382444366794 48.19205764615976, 16.35547009175411 48.190897819151374, 16.35486501874597 48.19059751345729)","12A, 14A, 59A",2,Autobus,
OEFFLINIENOGD.368,368,"LINESTRING (16.353824940970966 48.190369250653426, 16.35486501874597 48.19059751345729)",14A,2,Autobus,
OEFFLINIENOGD.254,254,"LINESTRING (16.373312999763456 48.19975677512252, 16.374690679343292 48.200101341391125, 16.374947027500152 48.200210709262976, 16.375241303987014 48.200291599294104)",4A,2,Autobus,
