FID,OBJECTID,SHAPE,GARAGE_ID,BETREIBER,BEZEICHNUNG,PLZ,ORT,ADRESSE,WEBLINK_BETR_DE,WEBLINK_BETR_EN,WEBLINK_WK_DE,WEBLINK_WK_EN,LONGITUDE,LATITUDE,PARK_AND_RIDE,BEHINDERTENPARKPL,SE_ANNO_CAD_DATA
GARAGENOGD.376742,376742,POINT (16.37313915716934 48.2154167414083),2168,APCOA Parking Austria GmbH,Ringturm,1010,Wien,Franz Josefs Kai ggü. 41-47,http://www.apcoa.at/parken-in/wien/ringturm.html,http://www.apcoa.at/en/parking-in/wien/ringturm.html,http://www.parken.at/garage/2168/,http://www.parken.at/en/garage/2168/,16.3731479645,48.2154227253,N,N,
GARAGENOGD.376743,376743,POINT (16.39386107104462 48.20117507098745),3304,APCOA Parking Austria GmbH,Landstrasser Passage,1030,Wien,Hainburger Straße 16,http://www.apcoa.at/parken-in/wien/landstrasser-passage.html,http://www.apcoa.at/en/parking-in/wien/landstrasser-passage.html,http://www.parken.at/garage/3304/,http://www.parken.at/en/garage/3304/,16.39387,48.201181,N,N,
GARAGENOGD.376744,376744,POINT (16.37048425609249 48.252229841677824),3350,APCOA Parking Austria GmbH,Merkur Muthgasse,1190,Wien,Holzgasse 1,http://www.apcoa.at/parken-in/wien/merkur-muthgasse.html,http://www.apcoa.at/en/parking-in/wien/merkur-muthgasse.html,http://www.parken.at/garage/3350/,http://www.parken.at/en/garage/3350/,16.370493,48.252236,N,N,
GARAGENOGD.376745,376745,POINT (16.420189922609836 48.18670212429405),3333,APCOA Parking Austria GmbH,Paragonstrasse,1110,Wien,Paragonstraße 2,http://www.apcoa.at/parken-in/wien/paragonstrasse.html,http://www.apcoa.at/en/parking-in/wien/paragonstrasse.html,http://www.parken.at/garage/3333/,http://www.parken.at/en/garage/3333/,16.420199,48.186708,N,N,
GARAGENOGD.376746,376746,POINT (16.36910535968539 48.249691455419466),3351,APCOA Parking Austria GmbH,P+R Muthgasse,1190,Wien,Muthgasse 42,http://www.apcoa.at/parken-in/wien/p-r-muthgasse.html,http://www.apcoa.at/en/parking-in/wien/p-r-muthgasse.html,http://www.parken.at/garage/3351/,http://www.parken.at/en/garage/3351/,16.3691141,48.2496976,N,N,
GARAGENOGD.376747,376747,POINT (16.446883810067273 48.272672397538244),3358,APCOA Parking Austria GmbH,Ekazent Grossfeldzentrum,1210,Wien,Kürschnergasse 9,http://www.apcoa.at/parken-in/wien/parkplatz-ekazent-grossfeldzentrum.html,http://www.apcoa.at/en/parking-in/wien/parkplatz-ekazent-grossfeldzentrum.html,http://www.parken.at/garage/3358/,http://www.parken.at/en/garage/3358/,16.4468929,48.2726787,N,N,
GARAGENOGD.376748,376748,POINT (16.429066808354182 48.20812441627239),3009,APCOA Parking Austria GmbH,Marina Wien,1020,Wien,Handelskai 343,http://www.apcoa.at/parken-in/wien/marina-wien.html,http://www.apcoa.at/en/parking-in/wien/marina-wien.html,http://www.parken.at/garage/3009/,http://www.parken.at/en/garage/3009/,16.4290759,48.2081304,N,N,
GARAGENOGD.376749,376749,POINT (16.40403805750616 48.22709674145723),3299,APCOA Parking Austria GmbH,Reichsbrücke,1020,Wien,Handelskai 255,http://www.apcoa.at/parken-in/wien/reichsbruecke.html,http://www.apcoa.at/en/parking-in/wien/reichsbruecke.html,http://www.parken.at/garage/3299/,http://www.parken.at/en/garage/3299/,16.404047,48.2271028,N,N,
GARAGENOGD.376750,376750,POINT (16.373492293832985 48.21772920468333),3008,APCOA Parking Austria GmbH,Herminengasse,1020,Wien,Herminengasse 2,http://www.apcoa.at/parken-in/wien/herminengasse.html,http://www.apcoa.at/en/parking-in/wien/herminengasse.html,http://www.parken.at/garage/3008/,http://www.parken.at/en/garage/3008/,16.3735011,48.2177352,N,N,
GARAGENOGD.376751,376751,POINT (16.312319481945057 48.13778852397653),3367,APCOA Parking Austria GmbH,P+R Perfektastrasse,1230,Wien,Herziggasse 14,http://www.apcoa.at/parken-in/wien/p-r-perfektastrasse.html,http://www.apcoa.at/en/parking-in/wien/p-r-perfektastrasse.html,http://www.parken.at/garage/3367/,http://www.parken.at/en/garage/3367/,16.3123281,48.1377941,N,N,
GARAGENOGD.376752,376752,POINT (16.43171829006907 48.20462073110723),3007,APCOA Parking Austria GmbH,Donaumarina,1020,Wien,Wehlistraße 350,http://www.apcoa.at/parken-in/wien/donaumarina.html,http://www.apcoa.at/en/parking-in/wien/donaumarina.html,http://www.parken.at/garage/3007/,http://www.parken.at/en/garage/3007/,16.4317274,48.2046267,N,N,
GARAGENOGD.376753,376753,POINT (16.474213097545427 48.14248380140485),3368,APCOA Parking Austria GmbH,Ekazent Schwechat,2320,Schwechat,Wiener Straße 12-16,http://www.apcoa.at/parken-in/schwechat/ekazent-schwechat.html,http://www.apcoa.at/en/parking-in/schwechat/ekazent-schwechat.html,http://www.parken.at/garage/3368/,http://www.parken.at/en/garage/3368/,16.4742225,48.1424895,N,N,
GARAGENOGD.376754,376754,POINT (16.37586426399037 48.2124641463483),621,APCOA Parking Austria GmbH,Franz Josefs Kai,1010,Wien,Franz-Josefs-Kai,http://www.apcoa.at/parken-in/wien/franz-josefs-kai.html,http://www.apcoa.at/en/parking-in/wien/franz-josefs-kai.html,http://www.parken.at/garage/621/,http://www.parken.at/en/garage/621/,16.3758730888,48.2124701178,N,N,
GARAGENOGD.376755,376755,POINT (16.409468619449036 48.218852176963765),3301,APCOA Parking Austria GmbH,Vorgartenstrasse,1020,Wien,Vorgartenstraße 223,http://www.apcoa.at/parken-in/wien/vorgartenstrasse.html,http://www.apcoa.at/en/parking-in/wien/vorgartenstrasse.html,http://www.parken.at/garage/3301/,http://www.parken.at/en/garage/3301/,16.4094776,48.2188582,N,N,
GARAGENOGD.376756,376756,POINT (16.412331396480802 48.21289308386746),2884,APCOA Parking Austria GmbH,Campus WU,1020,Wien,Trabrennstraße 5,http://www.apcoa.at/parken-in/wien/campus-wu.html,http://www.apcoa.at/en/parking-in/wien/campus-wu.html,http://www.parken.at/garage/2884/,http://www.parken.at/en/garage/2884/,16.4123404,48.21289908,N,N,
GARAGENOGD.376757,376757,POINT (16.383112368191473 48.22594581943512),3356,APCOA Parking Austria GmbH,Nordwestbahnstrasse,1200,Wien,Nordwestbahnstraße 2,http://www.apcoa.at/parken-in/wien/nordwestbahnstrasse.html,http://www.apcoa.at/en/parking-in/wien/nordwestbahnstrasse.html,http://www.parken.at/garage/3356/,http://www.parken.at/en/garage/3356/,16.38312121,48.22595186,N,N,
GARAGENOGD.376758,376758,POINT (16.412282123830476 48.23212861220453),3361,APCOA Parking Austria GmbH,DC Tower 1,1220,Wien,Donau-City-Straße 7,http://www.apcoa.at/parken-in/wien/dc-tower-1.html,http://www.apcoa.at/en/parking-in/wien/dc-tower-1.html,http://www.parken.at/garage/3361/,http://www.parken.at/en/garage/3361/,16.4122911,48.2321347,N,N,
GARAGENOGD.376759,376759,POINT (16.391047392057665 48.20666704655881),3308,APCOA Parking Austria GmbH,Sofiensäle,1030,Wien,Blattgasse 14,http://www.apcoa.at/parken-in/wien/sofiensaele.html,http://www.apcoa.at/en/parking-in/wien/sofiensaele.html,http://www.parken.at/garage/3308/,http://www.parken.at/en/garage/3308/,16.3910563,48.206673,N,N,
GARAGENOGD.376760,376760,POINT (16.386818348064764 48.21029784294782),3306,APCOA Parking Austria GmbH,Radetzky,1030,Wien,Hintere Zollamtsstraße 2-4,http://www.apcoa.at/parken-in/wien/radetzky.html,http://www.apcoa.at/en/parking-in/wien/radetzky.html,http://www.parken.at/garage/3306/,http://www.parken.at/en/garage/3306/,16.3868272305,48.2103038109,N,N,
